,CN19SESPMV1_SC58_eDNA_CE,CN19SESPKOA_SC58_eDNA_CE,CN19SESPKOA_SC57_eDNA_CE,CN19SESPKOA_SC56_eDNA_CE,CN19SESPKOA_SC55_eDNA_CE,CN19SESPMV1_SC55_eDNA_CE,CN19SESPMV1_SC54_eDNA_CE,CN19SESPKOA_SC54_eDNA_CE,CN19SESPKOA_SC53_eDNA_CE,CN19SESPMV1_SC53_eDNA_CE,CN19SESPMV1_SC52_eDNA_CE,CN19Sc03_12_eDNA_JJ,CN19Sc03_9_eDNA_JJ,CN19Sc03_1_eDNA_JJ,CN19Sc03_3_eDNA_JJ,CN19Sc03_7_eDNA_JJ,CN19Sc03_5_eDNA_JJ,CN19Sc03_4_eDNA_JJ,CN19Sc03_10_eDNA_JJ,CN19SESPMV1_SC51_eDNA_CE,CN19Sc10_9_eDNA_JJ,CN19Sc10_2_eDNA_JJ,CN19Sc10_10_eDNA_JJ,CN19Sc10_4_eDNA_JJ,CN19Sc10_7_eDNA_JJ,CN19Sc10_12_eDNA_JJ,CN19Sc10_1_eDNA_JJ,CN19Sc10_3_eDNA_JJ,CN19Sc10_5_eDNA_JJ,CN19Sc11_10_eDNA_JJ,CN19Sc11_7_eDNA_JJ,CN19Sc11_5_eDNA_JJ,CN19SESPMV1_SC50_eDNA_CE,CN19Sc12_5_eDNA_JJ,CN19Sc12_1_eDNA_JJ,CN19Sc12_2_eDNA_JJ,CN19Sc12_3_eDNA_JJ,CN19Sc12_12_eDNA_JJ,CN19Sc12_10_eDNA_JJ,CN19Sc12_9_eDNA_JJ,CN19Sc12_7_eDNA_JJ,CN19Sc12_4_eDNA_JJ,CN19SESPMV1_SC49_eDNA_CE,CN19SESPKOA_SC52_eDNA_CE,CN19SESPMV1_SC48_eDNA_CE,CN19SESPKOA_SC51_eDNA_CE,CN19SESPKOA_SC50_eDNA_CE,CN19Sc13_10_eDNA_JJ,CN19Sc13_7_eDNA_JJ,CN19Sc13_5_eDNA_JJ,CN19SESPKOA_SC49_eDNA_CE,CN19SESPKOA_SC48_eDNA_CE,CN19SESPMV1_SC45_eDNA_CE,CN19Sc15_12_eDNA_JJ,CN19Sc15_10_eDNA_JJ,CN19Sc15_9_eDNA_JJ,CN19Sc15_7_eDNA_JJ,CN19Sc15_5_eDNA_JJ,CN19Sc15_4_eDNA_JJ,CN19Sc15_2_eDNA_JJ,CN19Sc15_1_eDNA_JJ,CN19Sc15_3_eDNA_JJ,CN19SESPKOA_SC47_eDNA_CE,CN19SESPMV1_SC44_eDNA_CE,CN19SESPMV1_SC43_eDNA_CE,CN19Sc16_9_eDNA_JJ,CN19Sc16_5_eDNA_JJ,CN19Sc16_10_eDNA_JJ,CN19SESPKOA_SC46_eDNA_CE,CN19SESPKOA_SC45_eDNA_CE,CN19Sc18_8_eDNA_JJ,CN19Sc18_7_eDNA_JJ,CN19Sc18_5_eDNA_JJ,CN19Sc18_3_eDNA_JJ,CN19Sc18_2_eDNA_JJ,CN19Sc18_10_eDNA_JJ,CN19Sc18_12_eDNA_JJ,CN19Sc18_9_eDNA_JJ,CN19Sc18_4_eDNA_JJ,CN19SESPKOA_SC44_eDNA_CE,CN19Sc20_10_eDNA_JJ,CN19Sc20_9_eDNA_JJ,CN19Sc20_6_eDNA_JJ,CN19SESPMV1_SC37_eDNA_CE,CN19SESPMV1_SC36_eDNA_CE,CN19Sc21_4_eDNA_JJ,CN19Sc21_12_eDNA_JJ,CN19Sc21_5_eDNA_JJ,CN19SESPKOA_SC43_eDNA_CE,CN19Sc21_3_eDNA_JJ,CN19Sc21_9_eDNA_JJ,CN19Sc21_1_eDNA_JJ,CN19Sc21_2_eDNA_JJ,CN19Sc21_6_eDNA_JJ,CN19Sc21_10_eDNA_JJ,CN19SESPMV1_SC35_eDNA_CE,CN19SESPKOA_SC42_eDNA_CE,CN19SESPKOA_SC41_eDNA_CE,CN19Sc22_8_eDNA_JJ,CN19Sc22_4_eDNA_JJ,CN19Sc22_2_eDNA_JJ,CN19Sc23_6_eDNA_JJ,CN19Sc23_8_eDNA_JJ,CN19Sc23_10_eDNA_JJ,CN19Sc24_04_eDNA_BT,CN19Sc24_09_eDNA_BT,CN19SESPKOA_SC40_eDNA_CE,CN19SESPMV1_SC34_eDNA_CE,CN19SESPKOA_SC39_eDNA_CE,CN19SESPMV1_SC33_eDNA_CE,CN19Sc25_12_eDNA_JJ,CN19Sc25_10_eDNA_JJ,CN19Sc25_9_eDNA_JJ,CN19Sc25_1_eDNA_JJ,CN19Sc25_2_eDNA_JJ,CN19Sc25_4_eDNA_JJ,CN19Sc25_7_eDNA_JJ,CN19Sc25_6_eDNA_JJ,CN19Sc25_5_eDNA_JJ,CN19SESPKOA_SC38_eDNA_CE,CN19SESPMV1_SC32_eDNA_CE,CN19Sc26_02_eDNA_BT,CN19Sc26_09_eDNA_BT,CN19Sc26_04_eDNA_BT,CN19Sc27_6_eDNA_JJ,CN19Sc27_10_eDNA_JJ,CN19Sc27_5_eDNA_JJ,CN19Sc28_5_eDNA_RR,CN19Sc28_12_eDNA_RR,CN19Sc28_1_eDNA_RR,CN19Sc28_2_eDNA_RR,CN19Sc28_3_eDNA_RR,CN19Sc28_4_eDNA_RR,CN19Sc28_6_eDNA_RR,CN19Sc28_7_eDNA_RR,CN19Sc28_8_eDNA_RR,CN19Sc28_9_eDNA_RR,CN19Sc28_10_eDNA_RR,CN19Sc28_11_eDNA_RR,CN19SESPMV1_SC31_eDNA_CE,CN19Sc29_11_eDNA_RR,CN19Sc29_12_eDNA_RR,CN19Sc29_8_eDNA_RR,CN19Sc29_4_eDNA_RR,CN19Sc29_6_eDNA_RR,CN19Sc29_5_eDNA_RR,CN19Sc29_10_eDNA_RR,CN19Sc29_3_eDNA_RR,CN19Sc29_2_eDNA_RR,CN19Sc29_1_eDNA_RR,CN19Sc29_7_eDNA_RR,CN19Sc29_9_eDNA_RR,CN19SESPKOA_SC37_eDNA_CE,CN19SESPKOA_SC36_eDNA_CE,CN19SESPMV1_SC29_eDNA_CE,CN19SESPKOA_SC35_eDNA_CE,CN19SESPMV1_SC28_eDNA_CE,CN19Sc30_1_eDNA_RR,CN19Sc30_3_eDNA_RR,CN19Sc30_4_eDNA_RR,CN19Sc30_5_eDNA_RR,CN19Sc30_6_eDNA_RR,CN19Sc30_7_eDNA_RR,CN19Sc30_2_eDNA_RR,CN19Sc30_10_eDNA_RR,CN19Sc30_9_eDNA_RR,CN19Sc30_11_eDNA_RR,CN19Sc30_12_eDNA_RR,CN19Sc30_8_eDNA_RR,CN19SESPKOA_SC34_eDNA_CE,CN19Sc31_11_eDNA_RR,CN19Sc31_10_eDNA_RR,CN19Sc31_8_eDNA_RR,CN19Sc31_7_eDNA_RR,CN19Sc31_6_eDNA_RR,CN19Sc31_3_eDNA_RR,CN19Sc31_4_eDNA_RR,CN19Sc31_2_eDNA_RR,CN19Sc31_1_eDNA_RR,CN19Sc31_12_eDNA_RR,CN19Sc31_5_eDNA_RR,CN19Sc31_9_eDNA_RR,CN19Sc32_05_eDNA_BT,CN19Sc32_02_eDNA_BT,CN19SESPMV1_SC27_eDNA_CE,CN19SESPMV1_SC26_eDNA_CE,CN19Sc34_12_eDNA_RR,CN19Sc34_11_eDNA_RR,CN19Sc34_9_eDNA_RR,CN19Sc34_8_eDNA_RR,CN19Sc34_7_eDNA_RR,CN19Sc34_6_eDNA_RR,CN19Sc34_4_eDNA_RR,CN19Sc34_2_eDNA_RR,CN19Sc34_1_eDNA_RR,CN19SESPMV1_SC25_eDNA_BT,CN19Sc35_02_eDNA_BT,CN19Sc35_09_eDNA_BT,CN19Sc36_1_eDNA_RR,CN19Sc36_4_eDNA_RR,CN19Sc36_2_eDNA_RR,CN19Sc36_7_eDNA_RR,CN19Sc36_8_eDNA_RR,CN19Sc36_12_eDNA_RR,CN19Sc36_11_eDNA_RR,CN19Sc36_9_eDNA_RR,CN19Sc36_6_eDNA_RR,CN19Sc37_12_eDNA_RR,CN19Sc37_1_eDNA_RR,CN19Sc37_2_eDNA_RR,CN19Sc37_4_eDNA_RR,CN19Sc37_5_eDNA_RR,CN19Sc37_6_eDNA_RR,CN19Sc37_7_eDNA_RR,CN19Sc37_8_eDNA_RR,CN19Sc37_9_eDNA_RR,CN19Sc37_3_eDNA_RR,CN19Sc37_11_eDNA_RR,CN19Sc37_10_eDNA_RR,CN19SESPMV1_SC24_eDNA_BT,CN19Sc38_7_eDNA_RR,CN19Sc38_12_eDNA_RR,CN19Sc38_11_eDNA_RR,CN19Sc38_10_eDNA_RR,CN19Sc38_9_eDNA_RR,CN19Sc38_1_eDNA_RR,CN19Sc38_8_eDNA_RR,CN19Sc38_6_eDNA_RR,CN19Sc38_5_eDNA_RR,CN19Sc38_4_eDNA_RR,CN19Sc38_3_eDNA_RR,CN19Sc38_2_eDNA_RR,CN19SESPMV1_SC23_eDNA_BT,CN19SESPMV1_SC22_eDNA_BT,CN19Sc39_11_eDNA_BT,CN19Sc39_10_eDNA_BT,CN19Sc39_09_eDNA_BT,CN19Sc39_03_eDNA_BT,CN19Sc39_04_eDNA_BT,CN19Sc39_05_eDNA_BT,CN19Sc39_06_eDNA_BT,CN19Sc39_07_eDNA_BT,CN19Sc39_02_eDNA_BT,CN19Sc39_01_eDNA_BT,CN19SESPMV1_SC21_eDNA_BT,CN19SESPMV1_SC20_eDNA_BT,CN19SESPKOA_SC11_eDNA_CE,CN19SESPKOA_SC10_eDNA_CE,CN19SESPKOA_SC09_eDNA_CE,CN19SESPKOA_SC08_eDNA_CE,CN19SESPKOA_SC07_eDNA_CE,CN19SESPKOA_SC06_eDNA_CE,CN19SESPKOA_SC05_eDNA_CE,CN19SESPKOA_SC04_eDNA_CE,CN19SESPKOA_SC03_eDNA_CE,CN19SESPKOA_SC60_eDNA_CE,CN19SESPKOA_SC59_eDNA_CE,CN19SESPKOA_SC01_eDNA_CE,CN19SESPMV1_SC60_eDNA_CE,CN19SESPMV1_SC59_eDNA_CE,V4195_CB_eDNA_BT,CN19F_CB_V4216_BT,CN19F_CB_V4217_BT,V4196_CB_eDNA_BT,CN19S_CN19F_EB1_BT,Art_Com1_BT,PCR_Blank1_BT,RTSF_NTC_1233_BT,pcrblank1_RR,pcrblank2_RR,ArtComm1_RR,20191203_EB_RR,pcrblank3_RR,pcrblank_1_JJ,pcrblank_2_JJ,20191022_EB_JJ,Artcomm2_JJ,pcrblank_3_JJ,pcrblank1_CE,pcrblank2_CE,pcrblank3_CE,ArtComm1_CE,ArtComm2_CE,CN19SP3_OSU_EB1_CE,CN19SP3_OSU_EB2_CE,RTSF_NTC_1284_CE
ASV_3329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_3343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_3357,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,4,0,0,1,6,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,4,5,0,0,0,0,0,0,3,3,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,0,0,0,2,0,0,0,3,12,0,0,1,0,4,0,1,0,0,0,1,4,0,0,0,1,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2,0,0,0,0,0,4,0,2,0,0,0,4,6,6,4,5,4,0,0,0,0,0,0,3,0,8,0,0,3,3,0,0,0,0,0,0,0,0,4,8,4,0,0,0,6,0,2,0,0,2,0,0,0,8,18,16,0,2,0,0,0,4,3,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,0,1,1,0,10,2,0,0,0,0,0,7,38,3,4,0,10,0,0,5,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_3371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_3397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_3402,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,2,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,6,8,3,0,0,0,0,0,0,0,0,3,0,5,0,0,4,0,0,0,0,0,0,5,0,0,5,10,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,5,0,9,15,4,0,0,1,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,4,2,6,9,0,0,13,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,0,0,0,2,1,2,1,0,0,0,0,0,0,16,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_3436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,3,3,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,2,0,0,192,0,0,3,0,0,9,0,0,0,0,1,0,0,0,0,3,0,7,0,0,0,0,0,0,182,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_3447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_3461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
ASV_3463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,1,2,0,0,0,0,2,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_3489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,377,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_3508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_3517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
